Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
01-01-2016,2016,1,1,,,,,,,,,,,,,,,,,,,,,,,
02-01-2016,2016,1,2,,,,,,,,,,,,,,,,,,,,,,,
03-01-2016,2016,1,3,,,,,,,,,,,,,,,,,,,,,,,
04-01-2016,2016,1,4,,,,,,,,,,,,,,,,,,,,,,,
05-01-2016,2016,1,5,,,,,,,,,,,,,,,,,,,,,,,
06-01-2016,2016,1,6,,,,,,,,,,,,,,,,,,,,,,,
07-01-2016,2016,1,7,,,,,,,,,,,,,,,,,,,,,,,
08-01-2016,2016,1,8,†,7,,-14,,-3.5,,21.5,,0,,9,,0,,9,,0,,,,,
09-01-2016,2016,1,9,†,11,,3,,7,,11,,0,,14.6,,0,T,14.6,,0,,,,,
10-01-2016,2016,1,10,†,-1.5,,-5,,-3.3,,21.3,,0,,0,,7,,7,,0,T,,,,
11-01-2016,2016,1,11,,,,,,,,,,,,,,,,,,,,,,,
12-01-2016,2016,1,12,†,-5,,-12,,-8.5,,26.5,,0,,0,,0,,0,,12,,,,,
13-01-2016,2016,1,13,,,,,,,,,,,,,,,,,,,,,,,
14-01-2016,2016,1,14,†,2.5,,-10.5,,-4,,22,,0,,0,,0,,0,,11,,,,,
15-01-2016,2016,1,15,†,4.5,,-2,,1.3,,16.7,,0,,7.6,,0,,7.6,,8,,,,,
16-01-2016,2016,1,16,,,,,,,,,,,,,,,,,,,,,,,
17-01-2016,2016,1,17,,,,,,,,,,,,,,,,,,,,,,,
18-01-2016,2016,1,18,,,,,,,,,,,,,,,,,,,,,,,
19-01-2016,2016,1,19,,,,,,,,,,,,,,,,,,,,,,,
20-01-2016,2016,1,20,,,,,,,,,,,,,,,,,,,,,,,
21-01-2016,2016,1,21,†,-3,,,M,,M,,M,,M,0,,0,T,0,T,0,,,,,
22-01-2016,2016,1,22,,,,,,,,,,,,,,,,,,,,,,,
23-01-2016,2016,1,23,,,,,,,,,,,,,,,,,,,,,,,
24-01-2016,2016,1,24,†,3,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
25-01-2016,2016,1,25,†,5.5,,-9,,-1.8,,19.8,,0,,0,,0,,0,,0,,,,,
26-01-2016,2016,1,26,†,6,,,M,,M,,M,,M,0,,0,T,0,T,0,,,,,
27-01-2016,2016,1,27,,,,,,,,,,,,,,,,,,,,,,,
28-01-2016,2016,1,28,,,,,,,,,,,,,,,,,,,,,,,
29-01-2016,2016,1,29,,,,,,,,,,,,,,,,,,,,,,,
30-01-2016,2016,1,30,,,,,,,,,,,,,,,,,,,,,,,
31-01-2016,2016,1,31,,,,,,,,,,,,,,,,,,,,,,,
01-02-2016,2016,2,1,,,,,,,,,,,,,,,,,,,,,,,
02-02-2016,2016,2,2,†,9.5,,-5.5,,2,,16,,0,,10.2,,0,,10.2,,0,,,,,
03-02-2016,2016,2,3,†,13,,1.5,,7.3,,10.7,,0,,0,,0,T,0,T,0,,,,,
04-02-2016,2016,2,4,†,1.5,,-1,,0.3,,17.7,,0,,0,,0,,0,,0,T,,,,
05-02-2016,2016,2,5,,,,,,,,,,,,,,,,,,,,,,,
06-02-2016,2016,2,6,,,,,,,,,,,,,,,,,,,,,,,
07-02-2016,2016,2,7,†,8.5,,,M,,M,,M,,M,0.4,,0,,0.4,,0,,,,,
08-02-2016,2016,2,8,†,5,,-1,,2,,16,,0,,0,,7,,7,,0,,,,,
09-02-2016,2016,2,9,,,,,,,,,,,,,,,,,,,,,,,
10-02-2016,2016,2,10,,,,,,,,,,,,,,,,,,,,,,,
11-02-2016,2016,2,11,,,,,,,,,,,,,,,,,,,,,,,
12-02-2016,2016,2,12,,,,,,,,,,,,,,,,,,,,,,,
13-02-2016,2016,2,13,†,-8.5,,-16,,-12.3,,30.3,,0,,0,,0,T,0,T,3,,,,,
14-02-2016,2016,2,14,†,-5,,-18,,-11.5,,29.5,,0,,0,,1,,1,,3,,,,,
15-02-2016,2016,2,15,,,,,,,,,,,,,,,,,,,,,,,
16-02-2016,2016,2,16,,,,,,,,,,,,,,,,,,,,,,,
17-02-2016,2016,2,17,,,,,,,,,,,,,,,,,,,,,,,
18-02-2016,2016,2,18,†,6.5,,-12,,-2.8,,20.8,,0,,0,,0,,0,,4,,,,,
19-02-2016,2016,2,19,†,17.5,,-3.5,,7,,11,,0,,0,,0,,0,,0,,,,,
20-02-2016,2016,2,20,†,17.5,,5,,11.3,,6.7,,0,,0,,0,,0,,0,,,,,
21-02-2016,2016,2,21,,,,,,,,,,,,,,,,,,,,,,,
22-02-2016,2016,2,22,,,,,,,,,,,,,,,,,,,,,,,
23-02-2016,2016,2,23,,,,,,,,,,,,,,,,,,,,,,,
24-02-2016,2016,2,24,†,1,,-1,,0,,18,,0,,25.4,,6,,31.4,,0,,,,,
25-02-2016,2016,2,25,†,1,,-3.5,,-1.3,,19.3,,0,,0,,0,,0,,6,,,,,
26-02-2016,2016,2,26,,,,,,,,,,,,,,,,,,,,,,,
27-02-2016,2016,2,27,,,,,,,,,,,,,,,,,,,,,,,
28-02-2016,2016,2,28,,,,,,,,,,,,,,,,,,,,,,,
29-02-2016,2016,2,29,†,10.5,,-1,,4.8,,13.2,,0,,0,,0,,0,,0,,,,,
01-03-2016,2016,3,1,†,10.5,,-5,,2.8,,15.2,,0,,3,,5,,8,,1,,,,,
02-03-2016,2016,3,2,,,,,,,,,,,,,,,,,,,,,,,
03-03-2016,2016,3,3,,,,,,,,,,,,,,,,,,,,,,,
04-03-2016,2016,3,4,†,2,,-4,,-1,,19,,0,,0,,2,,2,,7,,,,,
05-03-2016,2016,3,5,,,,,,,,,,,,,,,,,,,,,,,
06-03-2016,2016,3,6,†,7.5,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
07-03-2016,2016,3,7,†,18,,-2,,8,,10,,0,,0,,0,,0,,0,T,,,,
08-03-2016,2016,3,8,,,,,,,,,,,,,,,,,,,,,,,
09-03-2016,2016,3,9,†,20,,9,,14.5,,3.5,,0,,3.2,,0,,3.2,,0,,,,,
10-03-2016,2016,3,10,,,,,,,,,,,,,,,,,,,,,,,
11-03-2016,2016,3,11,,,,,,,,,,,,,,,,,,,,,,,
12-03-2016,2016,3,12,,,,,,,,,,,,,,,,,,,,,,,
13-03-2016,2016,3,13,†,11,,5,,8,,10,,0,,23.8,,0,,23.8,,0,,,,,
14-03-2016,2016,3,14,,,,,,,,,,,,,,,,,,,,,,,
15-03-2016,2016,3,15,†,15,,7,,11,,7,,0,,1.2,,0,,1.2,,0,,,,,
16-03-2016,2016,3,16,†,16,,5.5,,10.8,,7.2,,0,,0.8,,0,,0.8,,0,,,,,
17-03-2016,2016,3,17,†,13.5,,5.5,,9.5,,8.5,,0,,0,,0,,0,,0,,,,,
18-03-2016,2016,3,18,†,11,,-2.5,,4.3,,13.7,,0,,0,T,0,,0,T,0,,,,,
19-03-2016,2016,3,19,†,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
20-03-2016,2016,3,20,†,6.5,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
21-03-2016,2016,3,21,†,8.5,,-3,,2.8,,15.2,,0,,0,,0,,0,,0,,,,,
22-03-2016,2016,3,22,,,,,,,,,,,,,,,,,,,,,,,
23-03-2016,2016,3,23,†,13,,0,,6.5,,11.5,,0,,3.4,,0,,3.4,,0,,,,,
24-03-2016,2016,3,24,†,12.5,,2.5,,7.5,,10.5,,0,,32.6,,0,,32.6,,0,,,,,
25-03-2016,2016,3,25,,,,,,,,,,,,,,,,,,,,,,,
26-03-2016,2016,3,26,†,8.5,,-3.5,,2.5,,15.5,,0,,0,,0,,0,,0,,,,,
27-03-2016,2016,3,27,†,20.5,,-2,,9.3,,8.7,,0,,28,,0,,28,,0,,,,,
28-03-2016,2016,3,28,†,9,,6,,7.5,,10.5,,0,,0,,0,,0,,0,,,,,
29-03-2016,2016,3,29,†,10.5,,0.5,,5.5,,12.5,,0,,0,,0,,0,,0,,,,,
30-03-2016,2016,3,30,†,16,,0,,8,,10,,0,,7.6,,0,,7.6,,0,,,,,
31-03-2016,2016,3,31,†,15.5,,10,,12.8,,5.2,,0,,9.6,,0,,9.6,,0,,,,,
01-04-2016,2016,4,1,†,12,,6.5,,9.3,,8.7,,0,,1.4,,0,,1.4,,0,,,,,
02-04-2016,2016,4,2,†,6,,1,,3.5,,14.5,,0,,0,,3.8,,3.8,,0,,,,,
03-04-2016,2016,4,3,†,8,,-5,,1.5,,16.5,,0,,1.2,,0,,1.2,,0,T,,,,
04-04-2016,2016,4,4,†,1.5,,-2,,-0.3,,18.3,,0,,0,,0,,0,,0,,,,,
05-04-2016,2016,4,5,†,4.5,,-8.5,,-2,,20,,0,,0,,0,,0,,0,,,,,
06-04-2016,2016,4,6,†,11.5,,-2,,4.8,,13.2,,0,,9.4,,0,,9.4,,0,,,,,
07-04-2016,2016,4,7,,,,,,,,,,,,,,,,,,,,,,,
08-04-2016,2016,4,8,†,7,,-2,,2.5,,15.5,,0,,0,,2.2,,2.2,,0,,,,,
09-04-2016,2016,4,9,,,,,,,,,,,,,,,,,,,,,,,
10-04-2016,2016,4,10,,,,,,,,,,,,,,,,,,,,,,,
11-04-2016,2016,4,11,,,,,,,,,,,,,,,,,,,,,,,
12-04-2016,2016,4,12,,,,,,,,,,,,,,,,,,,,,,,
13-04-2016,2016,4,13,†,11,,-2,,4.5,,13.5,,0,,0,,0,,0,,0,,,,,
14-04-2016,2016,4,14,†,14,,-2,,6,,12,,0,,0,,0,,0,,0,,,,,
15-04-2016,2016,4,15,†,21,,1,,11,,7,,0,,0,,0,,0,,0,,,,,
16-04-2016,2016,4,16,†,24,,4.5,,14.3,,3.7,,0,,0,,0,,0,,0,,,,,
17-04-2016,2016,4,17,†,23.5,,4,,13.8,,4.2,,0,,0,,0,,0,,0,,,,,
18-04-2016,2016,4,18,†,25,,5,,15,,3,,0,,0,,0,,0,,0,,,,,
19-04-2016,2016,4,19,†,15,,7,,11,,7,,0,,0,,0,,0,,0,,,,,
20-04-2016,2016,4,20,†,20,,4,,12,,6,,0,,0,,0,,0,,0,,,,,
21-04-2016,2016,4,21,,,,,,,,,,,,,,,,,,,,,,,
22-04-2016,2016,4,22,†,17,,8,,12.5,,5.5,,0,,0,,0,,0,,0,,,,,
23-04-2016,2016,4,23,,,,,,,,,,,,,,,,,,,,,,,
24-04-2016,2016,4,24,,,,,,,,,,,,,,,,,,,,,,,
25-04-2016,2016,4,25,†,22.5,,5.5,,14,,4,,0,,12.4,,0,,12.4,,0,,,,,
